cz2000_res,workplaceemp,resemp,workplacewage,resWage,emplAround,workplaceWageAround,resAround,resWageAround,landArea,lambda_nn_n,pd_commuting,pd_migration,pd_goods,pd_commuting_goods,pd_migration_goods,productivity,deficit
304,54227,50997.67,37173.07,37355.65,439485.,38218.344827832574,454717.63,38518.619271867465,5024.395,0.9462116602582038,0.15352993171748744,0.8417302210434732,0.9980885584152639,0.15323646822150094,0.8401213028958415,0.9411272837769934,159.20519999999988
305,88335,87391.79,29808.64,30339.74,111117.,29727.419904245075,124433.41,30004.4596958783,19450.86,0.9485415048713387,0.1072471245605239,0.8896630128414535,0.9981276485211493,0.10704632024825053,0.8879972509836811,0.7893094171278294,176.3712999999998
306,146054,148572.9,37332.73,37320.54,391187.,40086.59003624866,389428.324,40035.408543135854,8551.654,0.9490633890837428,0.08343415608544572,0.9154713766058751,0.9947347613833467,0.08299485534487674,0.910651201361329,0.9569166796142181,313.54230000000007
307,533212,530040.1,41283.71,41267.88,4.412519e6,44499.289743745016,4.4424058e6,44543.22456396442,12280.68,0.9886555753045855,0.02818602500404446,0.9687113600757461,0.9540935725536235,0.02689210529219454,0.9242412823079481,0.9875575327692869,1236.8859999999986
308,1031994,1117299,48790.43,50635.02,3.609564e6,58735.965907012585,3.6020891e6,59030.63009847842,7678.214,0.8505213913196019,0.21513203909898718,0.7778976611041121,0.9654789384842251,0.20770545274323693,0.7510438080921595,1.1548880120003693,2577.618999999999
309,437255,455360.4,40655.02,41677.16,4.327538e6,58480.911584464426,4.5270765e6,61985.707044782204,9390.219,0.8968944159395502,0.16085480728380522,0.8354570646868038,0.9920055415972231,0.15956886021808814,0.828778037935859,0.9244164456814701,5343.299999999999
310,253016,293364.3,40100.67,43998.97,3.471944e6,51031.695913488235,3.3580098419999997e6,50839.442704863504,5697.312,0.7199400199683466,0.3961806267871183,0.5997943038459406,0.9921691070005468,0.3930781786902921,0.5950973788308415,0.8949817193228261,562.2080000000005
311,49830,54934.13,28255.31,30424.2,737721.,40518.02223348665,718265.8400000001,40405.58836872376,5139.768,0.8001947059141558,0.29174633989820264,0.7056547922634667,0.9995911363577408,0.2916270554270561,0.7053662756749242,0.5998263599047694,324.66200000000003
312,39600,38530.93,35797.55,36038.83,187064.,38836.73369787879,187960.27000000002,39169.093729987195,12745.93,0.9061187985859672,0.2000586243297818,0.7986914395852021,0.9994737081877978,0.1999533351138366,0.7982710948200724,0.8758683709608316,370.18769999999995
313,125701,125552.8,37826.87,37871.32,215124.,36452.54826128187,216877.44,36536.834043173876,9380.217,0.9406202012221152,0.11215801895936955,0.8830665141725358,0.995037483851329,0.11160143297908073,0.8786842823356039,0.9504481477861711,10.290729999999712
314,42552,43170.98,37017.53,37243.7,525543.,40231.48166690451,523728.92000000004,40189.340342766634,7257.871,0.8307411599180746,0.2966124058709661,0.6999703873195422,0.9988259494319212,0.29626416790735405,0.6991485866886713,0.9201035176149761,3.4798000000000684
315,24095,25662.51,29966.63,30726.41,0.,0.,0.,0.,32454.09,0.9238320803382054,0.09091413226449867,0.9088564356106429,0.9997923491795885,0.09089525387034694,0.908667710826152,0.8307112600202348,31.520009999999957
316,2627528,2507123,61287.56,60940.96,5.92345e6,57085.71174986199,6.3083289e6,60266.88310902448,6165.096,0.9264635201384216,0.17139785837908222,0.8060854960554824,0.8777527752733599,0.15044494586814974,0.7075437812703027,1.4594493586453956,-30135.040000000008
317,37937,41221.22,30425.26,31624.84,884668.,35776.08768365082,882951.8500000001,35774.89287919493,3600.051,0.7911272398051294,0.318706880622024,0.6798838252126601,0.9993052149134067,0.31848544783437316,0.6794114520702864,0.6899710320676435,75.32385
318,25897,27401.63,32142.64,32796.9,1.94911e6,43787.560362396165,1.9425924000000001e6,43713.852043176776,2383.478,0.7990349479209814,0.32376865399831356,0.675429789910029,0.9997824863574355,0.3236982298990342,0.6752828747161291,0.687751817342744,188.51329999999996
319,31719,31810.67,41429.59,40898.31,696454.,35225.79023420068,717723.89,35710.69924785267,3703.542,0.878447388879266,0.2243053323391637,0.7737445999200108,0.9995384118438497,0.22420179565439458,0.7733874485768024,1.0130011386601467,252.7249999999999
320,141606,137473.4,47911.78,47706.92,548692.,43720.56211127554,558793.95,44009.51746078927,6799.175,0.9212000285146072,0.17342889507982423,0.8231396241363221,0.9946316255840387,0.17249786383648927,0.8187207024373447,1.1913277293073126,490.90269999999964
321,33289,33849.35,27278.56,27425.41,199179.,28191.83924319331,201676.65,28553.411209652182,4911.3,0.9262059685045652,0.12680426751058646,0.8721233749547279,0.999650495014142,0.12675994878686345,0.871818563486898,0.6043017049258267,55.04809999999998
322,54693,53100.46,32062.51,31924.98,28050.,29325.45,28263.21,29673.89,9106.127,0.950913607904715,0.11962370805629328,0.877626515826164,0.9996349177479164,0.1195800355635535,0.8773061099612779,0.805675635384841,72.02774999999997
323,1.e7,1.01e7,53560.7,53555.49,1.908421e6,53302.92,1.885915e6,53295.43,99597.04,0.9900990099009902,0.01095640110422747,0.9344907503817361,0.503085837368877,0.005512010224069565,0.47012906166926594,1.2376856513477241,3925.3059999999823
324,36332,35984.66,40381.43,40295.64,18157.,39282.75917332159,18242.546,39034.916236548335,16734.58,0.9836405290476552,0.04117094425589023,0.9581019321614924,0.9974606316026071,0.041066396061155995,0.9556689583934804,1.2432849237708579,-142.7476999999999
325,1613990,1611808,44354.08,44243.62,2.181124e6,42164.25988288607,2.1382488e6,42199.61417450954,6509.772,0.9821932885306438,0.036032748293586984,0.9545960626276516,0.8355736594143168,0.030108015350427456,0.7976353253122852,1.0256383877980613,3260.979999999996
326,3914,3903.099,33349.26,33455.79,28596.,33206.04200307735,28700.169,33270.30321970439,13074.53,0.9640460054946083,0.07270050419533464,0.9267753191260443,0.9999969270591715,0.07270028079098705,0.9267724712003274,1.1209672808948423,9.516901999999988
327,120395,135429,38012.85,39526.79,1.549884e6,45637.67734711759,1.51643216e6,45442.08322440082,7960.762,0.7842315899844198,0.3066396984873532,0.6912274417330672,0.9981549614282569,0.3060739364160163,0.6899521004412223,0.8599487392002542,428.3023000000003
328,136333,149567,33018.74,34239.7,1.314165e6,37613.425062157345,1.296263332e6,37484.7996095274,5090.005,0.8291982857181063,0.24436003424491606,0.7536233249023533,0.9971726555163167,0.24366914425006103,0.7514925721519156,0.743702999691771,-310.6782000000003
329,40633,39791.5,38456.94,38354.92,127739.,36963.19524099922,129248.01999999999,37047.91380439948,7248.89,0.9277373308369877,0.15503331647045138,0.8426664453376043,0.9987157912648158,0.15483422133119545,0.8415842857276551,1.0506313004705554,-340.28780000000006
330,27989,32930.3,29506.52,33933.77,5.979571e6,59779.34207827116,5.7838343100000005e6,59573.25325234253,2596.553,0.7843973483387638,0.2760150152615749,0.7237596320760685,0.9998827132751267,0.275982642364419,0.7236747446792268,0.6203272300530791,181.80600000000004
331,73471,78958.05,37181.29,38168.05,635411.,40738.585713514556,629882.75,40679.482782056664,6661.55,0.832156695865716,0.25369413989349016,0.7438363738787399,0.9987776352652996,0.25338403312348423,0.7429271345269232,0.8840241285472014,585.4186
332,64220,68522.45,35283.73,35969.81,2.246836e6,45768.720062162975,2.2345992199999997e6,45691.20359062643,4654.599,0.8290773315898659,0.26536200447702635,0.7331039428396857,0.9992324454960853,0.2651583246753222,0.7325412456065215,0.8012303305511916,693.9485
333,120531,115767.5,51046.44,50406.59,19931.,37915.46,19158.11,37922.14,15625.08,0.9317779169456022,0.1547769323459963,0.8332977523128583,0.9806813046791065,0.15178684394730144,0.8171995269243408,1.503856900301553,1634.9679999999998
334,498926,501561.9,37811.16,38021.96,2.478165e6,42974.13096731251,2.499458e6,42961.97945190998,6775.762,0.963740268150352,0.06609811817071984,0.9310143012287395,0.9614478917611942,0.06354989636462087,0.8951217371158929,0.8971690143195067,1078.369999999999
