w_i,state_county_work
40832.66,28149
35427.86,28151
33166.055,28153
25668.771,28155
29123.27,28157
33783.023,28159
29427.643,28161
37552.133,28163
28690.328,29001
24092.453,29003
34873.152,29005
34356.01,29007
32126.797,29009
27420.65,29011
25884.012,29013
22758.041,29015
19643.533,29017
39844.86,29019
39476.9,29021
34651.824,29023
22881.625,29025
35714.48,29027
27064.64,29029
37044.812,29031
27277.848,29033
25058.658,29035
29866.477,29037
22158.348,29039
30121.545,29041
25011.396,29043
25538.484,29045
47851.523,29047
29874.932,29049
43144.215,29051
29228.404,29053
29985.807,29055
23113.732,29057
20894.475,29059
23982.701,29061
29745.947,29063
29134.54,29065
21139.13,29067
34171.164,29069
34578.637,29071
25946.205,29073
28930.088,29075
39306.78,29077
29519.77,29079
24803.152,29081
30887.615,29083
18294.709,29085
29713.268,29087
23853.996,29089
28469.713,29091
32229.37,29093
54280.527,29095
35579.25,29097
32126.447,29099
33347.617,29101
25733.703,29103
29933.455,29105
29970.049,29107
27757.547,29109
28342.188,29111
31349.242,29113
29018.486,29115
31404.242,29117
26450.244,29119
27807.766,29121
26648.623,29123
14361.101,29125
33803.95,29127
32904.33,29129
28897.846,29131
34347.03,29133
28756.768,29135
26552.82,29137
25579.557,29139
27891.77,29141
42796.137,29143
35455.46,29145
31836.29,29147
23133.307,29149
28185.508,29151
18036.69,29153
35243.45,29155
31096.494,29157
33283.86,29159
35014.836,29161
30814.293,29163
41660.02,29165
27134.44,29167
49552.45,29169
24281.49,29171
33655.266,29173
35154.152,29175
24473.994,29177
34785.332,29179
23783.344,29181
41265.21,29183
21582.936,29185
36092.676,29186
31961.268,29187
54111.758,29189
36308.066,29195
20828.54,29197
29014.035,29199
35933.906,29201
22834.217,29203
30844.967,29205
32821.598,29207
24184.98,29209
40711.656,29211
31707.559,29213
25662.455,29215
31818.518,29217
29357.7,29219
29398.637,29221
24564.29,29223
26039.14,29225
19227.152,29227
23470.58,29229
59932.94,29510
30112.344,30001
34935.3,30003
29385.525,30005
26045.574,30007
20934.357,30009
20541.975,30011
38510.137,30013
29631.86,30015
31523.875,30017
28107.82,30019
32526.518,30021
27716.396,30023
40070.95,30025
29127.947,30027
33090.113,30029
33890.156,30031
23326.633,30033
34956.996,30035
15496.323,30037
21280.107,30039
34163.45,30041
27027.45,30043
25912.998,30045
26754.674,30047
39514.344,30049
31489.152,30051
27381.066,30053
25085.158,30055
26798.594,30057
22275.861,30059
24661.918,30061
36100.55,30063
21122.45,30065
25578.168,30067
19449.592,30069
28298.062,30071
29920.152,30073
17321.396,30075
30891.625,30077
25734.627,30079
27599.645,30081
37158.66,30083
30120.646,30085
43487.207,30087
23936.986,30089
26275.963,30091
39574.215,30093
36757.227,30095
35977.098,30097
29111.902,30099
34846.93,30101
19771.93,30103
29720.646,30105
23275.83,30107
21381.24,30109
40132.47,30111
36381.73,31001
34425.367,31003
21378.98,31005
29657.719,31007
21026.764,31009
31576.05,31011
43949.566,31013
27574.521,31015
26061.98,31017
36253.008,31019
30138.959,31021
34053.688,31023
26952.178,31025
37271.855,31027
38155.11,31029
25758.826,31031
42142.605,31033
37756.164,31035
37068.2,31037
39067.47,31039
30987.06,31041
38921.6,31043
26987.691,31045
36901.816,31047
24627.678,31049
28393.814,31051
35975.797,31053
51329.63,31055
42884.168,31057
36061.176,31059
29521.033,31061
32713.086,31063
36062.035,31065
31327.24,31067
33599.105,31069
23493.992,31071
39583.06,31073
17113.445,31075
27381.857,31077
39818.324,31079
40546.914,31081
34819.824,31083
42582.16,31085
31058.785,31087
35434.49,31089
18146.885,31091
25894.512,31093
33546.113,31095
30171.738,31097
40331.652,31099
30862.408,31101
22372.514,31103
30462.11,31105
30394.152,31107
41253.824,31109
42189.1,31111
26094.092,31113
14979.592,31115
8389.655,31117
34766.32,31119
31213.707,31121
43037.832,31123
31626.873,31125
41774.88,31127
31122.352,31129
31845.959,31131
27545.566,31133
41926.215,31135
41699.97,31137
32106.805,31139
41171.977,31141
43649.965,31143
35259.055,31145
29753.195,31147
26171.428,31149
39160.324,31151
44457.676,31153
32290.416,31155
38012.55,31157
33924.254,31159
26330.412,31161
