vector_number,hat_w,hatL,hatR,hatv,diag_hat_λ,diag_hat_pi,hatP,hatQ,real_v,var_hatB,L,R,A,w,s_i,lambda_nn_given_n
17197,1.0021110193449458,0.9943820410553876,1.0103835952154556,1.0079444519189658,0.963141491,0.9917465986582785,1.0012249271523461,1.0184105391073566,1.0067113039082347,0.010016862344025546,251221,379171.7,1.0806280648741764,44694.76,0.309692192,0.45059562
17199,1.0015328371463394,0.9976709465321227,1.00035096,1.000848009596286,0.9826543950465105,0.9976568060725268,1.0015281053919882,1.001199266838626,0.9993209418766774,0.000230015,35184,35690.27,0.992730627,37373.27,0.2080409511379953,0.70432836
17201,1.0015789048580486,0.9947345950991192,0.9955248260935345,1.0018644362300888,0.9875019524307094,0.9950201830208995,1.0016747466600835,0.9973809186472562,1.0001893724191788,-0.002780002,172581,164933,1.1272816961112828,43396.18,0.21035983423258772,0.8649905
17203,1.0016532508177296,0.9908596558995986,1.0054620586042042,1.008060703034735,0.9672594594831501,0.9903872980323924,1.0014940577391103,1.013566789671306,1.006556848984655,0.006776562,15792,25217.7,0.8489067489424562,33829.66,0.2594202775804367,0.44370112
18001,1.0015318203927115,0.9915835704388339,0.996189187,1.004907644530479,0.9830110956953972,0.9912639431025358,1.0014241974754556,1.0010781296033633,1.0034784929940828,-0.001138744,22775,23183.12,0.6893028133810591,29903.23,0.13209368677125002,0.73750937
18003,1.0013715216104986,0.9986221538669798,0.9938985295150582,1.0009066809670206,0.9906973657552969,0.9987978887976011,1.0014302577509586,0.9947996783949192,0.999477171,-0.004245187,232342,212276.4,1.1213959645572265,43933.07,0.24317221724097368,0.923008
18005,1.0015621568652422,1.0019855611653588,0.9972578863703778,1.0003086380247088,0.9880716817454893,1.0009960640832005,1.001232355292716,0.9975656780745524,0.9990774196787346,-0.002405386,54641,46914.33,1.3060183049195309,48165.22,0.2403013791647846,0.83860195
18007,1.0016134512729136,0.9928346228589778,1.0026760314112508,1.0061826413860748,0.973275951,0.9921961026260883,1.0013986831759838,1.0088752177398792,1.0047772763140834,0.003940098,4522,5421.879,0.7944385275349027,32777.31,0.18041210670456673,0.5469951
18009,1.0015832199068055,0.9928832546079788,1.0000921573762396,1.0033219581104251,0.9802126831676703,0.9923116784981492,1.0013909881994827,1.0034144216296081,1.0019282876855267,0.000922198,5753,7161.318,0.7619887266108054,32235.88,0.13704275994157172,0.542305
18011,1.0016742674275372,1.0088092527444965,1.0078716754868349,1.0060616998236616,0.9677305410412691,1.0068060759198385,1.0010108251060723,1.013981091044407,1.0050457743222247,0.00743843,31584,37763.23,1.0245531992605017,40531.47,0.34125481320901596,0.48868915
18013,1.0015941729154498,0.9866804109135467,1.000634217555218,1.0132608471143922,0.9671090106393884,0.9856704828807137,1.0012523251932888,1.0139034749316473,1.0119935021561974,0.005269341,7338,10775.12,0.424229201,20597.98,0.2403548379078951,0.5059928
18015,1.001603119803789,0.987201779,1.0010845409221467,1.0088488117126224,0.9719372935101951,0.9865103804284603,1.0013692369262788,1.0099429495331838,1.007469347479959,0.003873016,10818,14237,0.6316726767659615,27911.26,0.16819027675868647,0.5437863
18017,1.001578744,0.9914698271411997,0.9963088119665962,1.0038492838330062,0.984398113,0.9909830715617814,1.0014148107288046,1.0001438873691808,1.002431033651709,-0.001552094,20250,21152.32,0.8518163769822803,34945.43,0.14268018364047846,0.7487449
18019,1.0015723493001722,0.9970884443021331,1.0037844560211169,1.0044008669988644,0.9741777370750502,0.9963018741071227,1.0013089108821274,1.0082019779075932,1.003087914312091,0.004148031,61029,69869.4,0.953940314,39332.37,0.19294977533468072,0.5031168
18021,1.001593472976679,0.9884985975668015,0.9995558486593179,1.0058913731648629,0.9776367956999619,0.9878826309318861,1.0013853875853478,1.0054446051628911,1.0044997516794012,0.001584327,12485,16602.79,0.6398652507010948,27764.28,0.14699062600069415,0.54883826
18023,1.0016429486366998,0.9852428108821314,1.0053698795127093,1.003250697116959,0.9739569341616928,0.984090117,1.001252169125863,1.0086380324815187,1.0019960286256766,0.004561527,15205,19131.3,1.0128139083062846,40041.57,0.16409689754666967,0.60596985
18025,1.0015594901446254,0.9861475698953028,0.9997502553573367,1.0080573157919905,0.9744990388865841,0.9856285945346172,1.0013837639410448,1.007805558877874,1.0066643299914124,0.002669332,3849,6203.381,0.4677487776597976,21955.57,0.12327319679890444,0.42338198
